Business Name,Industry,Sub Industry,Business Category,Business Type,MSME Category,Address,State,District,City,Pincode,Phone Number,WhatsApp,Email,Website,Registration Date,Latitude,Longitude,Google Maps Link,Description
Kaveri Precision Tools LLP,Manufacturing,Precision Engineering,Industrial Goods,LLP,Small,"Plot 42, Peenya Industrial Area, Phase 2",Karnataka,Bengaluru Urban,Bengaluru,560058,9845012345,9845012345,sales@kaveriprecision.in,https://kaveriprecision.in,2018-04-12,13.0312,77.5185,https://maps.google.com/?q=13.0312,77.5185,"High-precision CNC machined aerospace and automotive components manufacturer with ISO 9001:2015 certification."
Zenith Biotech Diagnostics Pvt Ltd,Healthcare,Medical Devices,Life Sciences,Private Limited,Medium,"4th Floor, Genome Valley, Shamirpet",Telangana,Medchal-Malkajgiri,Hyderabad,500078,9123456789,9123456789,info@zenithbio.com,https://zenithbio.com,2016-09-24,17.6521,78.6012,https://maps.google.com/?q=17.6521,78.6012,"Leading manufacturer of IVD diagnostic reagents, PCR molecular kits, and clinical pathology automated equipment."
Gujarat Organic Agrochem Industries,Agriculture,Bio Fertilizers,Agribusiness,Proprietorship,Micro,"Survey No 118, Sanand GIDC Industrial Estate",Gujarat,Ahmedabad,Ahmedabad,382110,7925831122,7925831122,contact@gujaratorganic.co,https://gujaratorganic.co,2020-01-15,22.9868,72.3812,https://maps.google.com/?q=22.9868,72.3812,"Producer of certified organic compost, microbial biopesticides, and soil rejuvenation nutrients for sustainable agriculture."
Metro Cargo Freight Solutions Ltd,Logistics,Cold Chain Transportation,Supply Chain,Public Limited,Medium,"Building 7, JNPT Port Logistics Zone, Nhava Sheva",Maharashtra,Raigad,Navi Mumbai,400707,9820098200,9820098200,operations@metrocargo.in,https://metrocargo.in,2014-11-03,18.9498,72.9512,https://maps.google.com/?q=18.9498,72.9512,"Integrated 3PL supply chain, container freight stations, bonded warehousing and temperature-controlled reefer fleet."
Sunrise Solar Power Systems,Renewable Energy,Rooftop Solar PV,Clean Energy,Private Limited,Small,"E-14, Sitapura Industrial Area",Rajasthan,Jaipur,Jaipur,302022,9414012345,9414012345,projects@sunrisesolar.com,https://sunrisesolar.com,2019-07-20,26.7725,75.8451,https://maps.google.com/?q=26.7725,75.8451,"EPC contractor specializing in commercial rooftop solar installations, off-grid microinverters, and industrial solar parks."
CloudMatrix Infotech Solutions,Information Technology,Cloud & Cybersecurity,IT Services,Private Limited,Small,"Level 5, Cyber Towers, Hitec City",Telangana,Hyderabad,Hyderabad,500081,9988776655,9988776655,hello@cloudmatrix.io,https://cloudmatrix.io,2021-03-10,17.4504,78.3809,https://maps.google.com/?q=17.4504,78.3809,"Enterprise AWS & Azure cloud migration, SOC-2 compliance automation, and AI-assisted data pipeline infrastructure."
Apex Infra Structural Fabricators,Construction,Pre-Engineered Buildings,Civil Engineering,Partnership,Medium,"Plot 88, Chakan Industrial Phase 3",Maharashtra,Pune,Pune,410501,9881122334,9881122334,tenders@apexinfra.co.in,https://apexinfra.co.in,2015-05-18,18.7612,73.8543,https://maps.google.com/?q=18.7612,73.8543,"Design, fabrication and erection of heavy structural steel frames, prefabricated industrial warehouses and crane girders."
PureCraft Dairy Beverages,Food & Beverages,Nutritional Dairy,Fast Moving Consumer Goods,Private Limited,Small,"G-12, Food Park, Phase 1, Rai",Haryana,Sonipat,Sonipat,131029,9812345670,9812345670,orders@purecraftdairy.com,https://purecraftdairy.com,2022-08-01,28.9312,77.1084,https://maps.google.com/?q=28.9312,77.1084,"Farm-to-bottle organic milk, cold-crafted Greek yogurt, probiotic lassi, and artisanal dairy products."
Vanguard Smart Robotics,Automation & Robotics,Warehouse AGVs,Industrial Automation,Private Limited,Micro,"T-Hub Phase 2, Madhapur",Telangana,Hyderabad,Hyderabad,500081,9876543210,9876543210,support@vanguardrobotics.in,https://vanguardrobotics.in,2023-02-14,17.4419,78.3791,https://maps.google.com/?q=17.4419,78.3791,"Autonomous mobile robots (AMRs) and automated guided vehicles (AGVs) engineered for e-commerce and pallet handling."
Nirmal Polychem Extrusions,Plastics & Polymers,HDPE Pipes & Fittings,Industrial Polymers,Private Limited,Small,"Sector 25, Faridabad Industrial Zone",Haryana,Faridabad,Faridabad,121004,9810011223,9810011223,enquiry@nirmalpolychem.com,https://nirmalpolychem.com,2017-10-11,28.3812,77.3198,https://maps.google.com/?q=28.3812,77.3198,"Manufacturer of BIS certified HDPE pressure pipes, sprinkler irrigation systems, and telecom ducting pipes."
